,2t,2d,sp,r_sur,rh_sur
Default Finetuning,0.06972765922546387,-0.004736781120300293,-0.12592756748199463,-0.14010441303253174,-0.13463640213012695
PINNLoss Finetuning,0.03596240282058716,0.009559273719787598,-0.02762150764465332,0.003054499626159668,0.00350111722946167
