,2t,2d,sp,r_sur,rh_sur
No Finetuning,1.5464361906051636,2.0286715030670166,415.3675231933594,1.0272040367126465,6.363593101501465
Default Finetuning,1.4827255010604858,2.0146002769470215,431.1650695800781,1.015426516532898,6.464284896850586
PINNLoss Finetuning,1.5197763442993164,2.0567917823791504,432.2453918457031,1.037743330001831,6.550729274749756
