,2t,2d,sp,r_sur,rh_sur
PINNLoss Finetuning,0.02364349365234375,-0.00039136409759521484,-0.03589153289794922,-0.0005159378051757812,-0.003235459327697754
Default Finetuning,0.0438309907913208,-0.018801093101501465,-0.11591243743896484,-0.14026188850402832,-0.13293349742889404
