,2t,2d,sp,r_sur,rh_sur
No Finetuning,1.6980164051055908,2.2252004146575928,433.95697021484375,1.1322904825210571,7.295403480529785
Default Finetuning,1.6502609252929688,2.22771954536438,450.4105224609375,1.1327325105667114,7.488897323608398
PINNLoss Finetuning,1.6879695653915405,2.2717127799987793,452.1995544433594,1.1550540924072266,7.564140796661377
