,2t,2d,sp,r_sur,rh_sur
Default Finetuning,-0.026964426040649414,-0.02963399887084961,-0.1251286268234253,-0.03263723850250244,-0.03447079658508301
PINNLoss Finetuning,0.06148725748062134,0.048349082469940186,-0.02007114887237549,0.052717387676239014,0.04858267307281494
