timestamp,data_loss,physics_loss
1768400021.1004987,0.002101,0.000019
timestamp,data_loss,physics_loss
1768400021.1005206,0.001809,0.000018
timestamp,data_loss,physics_loss
1768400021.1005576,0.002613,0.000016
timestamp,data_loss,physics_loss
1768400021.1006293,0.001867,0.000018
1768400027.1002827,0.001962,0.000018
1768400027.1018934,0.001940,0.000017
1768400027.1063259,0.001906,0.000019
1768400027.1065047,0.001376,0.000020
1768400027.7020178,0.001837,0.000018
1768400027.702224,0.001734,0.000017
1768400027.7020087,0.001863,0.000017
1768400027.7030742,0.001919,0.000019
1768400028.2797697,0.002076,0.000018
1768400028.2799087,0.001794,0.000018
1768400028.2816396,0.002474,0.000017
1768400028.2822583,0.002392,0.000017
1768400028.860232,0.001378,0.000019
1768400028.8605442,0.002390,0.000017
1768400028.8607485,0.001863,0.000017
1768400028.8616343,0.002384,0.000016
1768400029.4400666,0.002004,0.000018
1768400029.4402258,0.001469,0.000019
1768400029.4405758,0.001987,0.000018
1768400029.4426715,0.001952,0.000019
1768400030.0219343,0.001901,0.000017
1768400030.0221686,0.001994,0.000017
1768400030.0233052,0.001319,0.000017
1768400030.0235543,0.002097,0.000018
1768400030.606306,0.002353,0.000016
1768400030.606428,0.001481,0.000021
1768400030.60729,0.001396,0.000018
1768400030.6096883,0.001793,0.000017
1768400031.4000874,0.002455,0.000017
1768400031.401053,0.002556,0.000016
1768400031.4017882,0.002076,0.000018
1768400031.4022262,0.002215,0.000017
1768400031.9814165,0.002810,0.000017
1768400031.9825177,0.002555,0.000017
1768400031.9827194,0.001508,0.000019
1768400031.983736,0.002348,0.000017
1768400032.5613732,0.002370,0.000017
1768400032.5615056,0.001271,0.000018
1768400032.5623777,0.002485,0.000017
1768400032.566152,0.001773,0.000017
1768400033.14582,0.001874,0.000017
1768400033.1460233,0.001302,0.000019
1768400033.146722,0.001896,0.000018
1768400033.1476133,0.001288,0.000019
1768400033.7284966,0.002023,0.000018
1768400033.7302108,0.001317,0.000019
1768400033.7304232,0.001536,0.000019
1768400033.7318318,0.002672,0.000017
1768400034.310421,0.002609,0.000016
1768400034.3110585,0.001789,0.000017
1768400034.311334,0.001783,0.000019
1768400034.311639,0.002136,0.000018
1768400034.8907049,0.001823,0.000018
1768400034.890828,0.001391,0.000018
1768400034.8913736,0.001903,0.000017
1768400034.8916216,0.002154,0.000017
1768400035.471317,0.001902,0.000017
1768400035.4716284,0.002401,0.000017
1768400035.471635,0.001456,0.000018
1768400035.4717088,0.001357,0.000019
1768400036.0485198,0.001995,0.000017
1768400036.048938,0.001999,0.000017
1768400036.0489511,0.001858,0.000018
1768400036.053357,0.002329,0.000016
1768400036.6343565,0.002666,0.000016
1768400036.6345222,0.001802,0.000017
1768400036.63464,0.001987,0.000018
1768400036.636654,0.001977,0.000018
1768400037.2169244,0.001955,0.000018
1768400037.2171774,0.001871,0.000017
1768400037.2177145,0.001940,0.000018
1768400037.217976,0.002484,0.000016
1768400037.7962546,0.002070,0.000016
1768400037.7967942,0.001398,0.000018
1768400037.796805,0.001913,0.000018
1768400037.7969956,0.001817,0.000018
1768400038.3799882,0.002301,0.000017
1768400038.3800433,0.001946,0.000018
1768400038.381734,0.001953,0.000017
1768400038.3821888,0.001839,0.000017
1768400038.9606407,0.002473,0.000016
1768400038.9611866,0.001284,0.000019
1768400038.962114,0.002674,0.000017
1768400038.9628873,0.001959,0.000017
1768400039.542546,0.001316,0.000019
1768400039.5430484,0.001321,0.000018
1768400039.5432546,0.001839,0.000018
1768400039.543748,0.001357,0.000018
1768400040.1207137,0.002449,0.000017
1768400040.121299,0.001959,0.000019
1768400040.1218665,0.001383,0.000018
1768400040.1223543,0.001370,0.000020
1768400040.702167,0.001792,0.000019
1768400040.7034307,0.002420,0.000017
1768400040.7037134,0.001839,0.000017
1768400040.7042084,0.002515,0.000017
1768400041.283232,0.002608,0.000015
1768400041.2834785,0.002454,0.000017
1768400041.283481,0.001815,0.000017
1768400041.2847002,0.001267,0.000018
1768400041.8702867,0.001317,0.000018
1768400041.870531,0.001341,0.000018
1768400041.8715305,0.002202,0.000018
1768400041.8720517,0.002309,0.000016
1768400042.452051,0.001807,0.000018
1768400042.4525092,0.001957,0.000017
1768400042.454158,0.001864,0.000018
1768400042.454179,0.001526,0.000020
1768400043.0342524,0.002671,0.000018
1768400043.0346336,0.001942,0.000017
1768400043.034965,0.002128,0.000018
1768400043.0371656,0.002118,0.000017
1768400043.6162465,0.001790,0.000018
1768400043.6171227,0.001810,0.000017
1768400043.6172404,0.001864,0.000018
1768400043.6179514,0.002394,0.000016
1768400044.1968195,0.001917,0.000017
1768400044.1973214,0.002433,0.000018
1768400044.197512,0.002395,0.000015
1768400044.1996694,0.002541,0.000016
1768400044.7796812,0.001988,0.000017
1768400044.7799003,0.001818,0.000017
1768400044.78011,0.002331,0.000016
1768400044.7833145,0.001967,0.000018
1768400045.3623705,0.002077,0.000017
1768400045.3629203,0.002131,0.000018
1768400045.3645346,0.001967,0.000018
1768400045.3650641,0.002619,0.000016
1768400045.9454648,0.002956,0.000017
1768400045.9459908,0.001817,0.000017
1768400045.9460175,0.002231,0.000016
1768400045.946014,0.002004,0.000017
1768400046.527,0.001960,0.000018
1768400046.5273478,0.001841,0.000018
